codgeo;P17_POP;P17_POP0014;P17_POP1529;P17_POP3044;P17_POP4559;P17_POP6074;P17_POP7589;P17_POP90P;NIXI_0_14;NIXI_15_29;NIXI_30_44;NIXI_45_59;NIXI_60_74;NIXI_75_89;NIXI_90_100;NIXI_TOTAL;average_age_population
1135;2138;498;309;518;479;261;67;6;3489;6807;19178;24884;17464;5466;567;77855,4;36
1136;868;175;144;169;185;138;52;6;1225;3165;6258;9603;9248;4224;554;34276,8;39
1138;3035;625;481;572;576;485;277;19;4373;10577;21158;29960;32505;22745;1801;123119,2;41
1139;440;86;52;81;77;84;57;3;602;1144;2997;4004;5628;4674;285;19334,0;44
1140;770;138;120;135;168;123;71;15;966;2640;4995;8736;8241;5822;1425;32825,0;43
1141;448;81;65;75;97;88;37;5;565;1430;2785;5068;5884;3009;483;19223,6;43
1142;4717;1055;850;996;954;626;221;15;7387;18702;36853;49590;41932;18106;1447;174018,0;37
1143;9644;2147;1245;2337;1979;1245;597;94;15029;27390;86469;102908;83415;48954;8930;373095,0;39
1145;1166;220;170;218;251;236;64;6;1543;3730;8082;13070;15838;5235;569;48067,3;41
1146;435;113;64;94;86;58;20;1;789;1411;3464;4460;3880;1627;94;15725,2;36
1147;486;95;67;87;105;91;40;1;665;1474;3219;5460;6097;3280;95;20290,0;42
1148;1846;331;280;314;443;355;105;18;2317;6160;11618;23036;23785;8610;1710;77236,0;42
1149;1041;213;144;180;260;191;51;1;1493;3179;6671;13505;12806;4190;98;41941,8;40
1150;216;41;30;48;53;31;10;1;290;666;1793;2782;2096;828;96;8550,2;40
1151;1159;213;138;211;234;243;112;8;1492;3029;7803;12163;16275;9205;781;50748,4;44
1152;757;154;86;153;178;121;58;6;1076;1899;5673;9270;8131;4747;579;31375,3;41
1153;2132;572;250;525;460;261;61;4;4002;5493;19419;23900;17480;5014;387;75696,2;36
1155;145;28;16;26;37;20;15;2;197;354;969;1937;1349;1239;191;6237,0;43
1156;806;189;107;170;178;116;43;2;1323;2364;6296;9262;7800;3509;189;30743,4;38
1157;2204;450;318;404;454;426;137;14;3150;7005;14955;23621;28563;11203;1348;89844,5;41
1158;1038;245;152;242;244;101;51;3;1713;3337;8955;12705;6774;4190;297;37970,6;37
1159;3291;600;470;597;685;632;274;33;4200;10341;22092;35622;42369;22429;3127;140179,8;43
1160;9766;1925;1717;2523;1894;1198;477;31;13476;37779;93363;98510;80294;39097;2907;365427,1;37
1162;68;12;12;8;21;8;5;2;81;253;310;1088;561;429;199;2919,8;43
1163;2085;395;319;369;454;327;195;25;2767;7020;13649;23625;21932;15982;2394;87369,5;42
1165;1611;420;211;396;307;212;64;1;2938;4646;14658;15982;14190;5220;99;57734,9;36
