geocode,city_name,an,4G_rate
01335,Saint-André-le-Bouchoux,2017,"51,10"
01336,Saint-André-sur-Vieux-Jonc,2017,"95,70"
01337,Saint-Bénigne,2017,"99,90"
01338,Groslée-Saint-Benoit,2017,"98,00"
01339,Saint-Bernard,2017,"100,00"
01342,Sainte-Croix,2017,"100,00"
01343,Saint-Cyr-sur-Menthon,2017,"100,00"
01344,Saint-Denis-lès-Bourg,2017,"100,00"
01345,Saint-Denis-en-Bugey,2017,"100,00"
01346,Saint-Didier-d'Aussiat,2017,"100,00"
01347,Saint-Didier-de-Formans,2017,"100,00"
01348,Saint-Didier-sur-Chalaronne,2017,"100,00"
01349,Saint-Éloi,2017,"93,90"
01350,Saint-Étienne-du-Bois,2017,"97,00"
01351,Saint-Étienne-sur-Chalaronne,2017,"99,80"
01352,Saint-Étienne-sur-Reyssouze,2017,"99,90"
01353,Sainte-Euphémie,2017,"100,00"
01354,Saint-Genis-Pouilly,2017,"99,90"
01355,Saint-Genis-sur-Menthon,2017,"100,00"
01356,Saint-Georges-sur-Renon,2017,"19,80"
01357,Saint-Germain-de-Joux,2017,"18,00"
01358,Saint-Germain-les-Paroisses,2017,"70,90"
01359,Saint-Germain-sur-Renon,2017,"21,40"
01360,Saint-Jean-de-Gonville,2017,"98,60"
01361,Saint-Jean-de-Niost,2017,"100,00"
01362,Saint-Jean-de-Thurigneux,2017,"100,00"
01363,Saint-Jean-le-Vieux,2017,"99,00"
01364,Saint-Jean-sur-Reyssouze,2017,"100,00"
01365,Saint-Jean-sur-Veyle,2017,"100,00"
01366,Sainte-Julie,2017,"100,00"
01367,Saint-Julien-sur-Reyssouze,2017,"100,00"
01368,Saint-Julien-sur-Veyle,2017,"100,00"
01369,Saint-Just,2017,"100,00"
01370,Saint-Laurent-sur-Saône,2017,"100,00"
01371,Saint-Marcel,2017,"100,00"
01372,Saint-Martin-de-Bavel,2017,"100,00"
01373,Saint-Martin-du-Frêne,2017,"83,00"
01374,Saint-Martin-du-Mont,2017,"71,40"
01375,Saint-Martin-le-Châtel,2017,"100,00"
01376,Saint-Maurice-de-Beynost,2017,"100,00"
01378,Saint-Maurice-de-Gourdans,2017,"100,00"
01379,Saint-Maurice-de-Rémens,2017,"100,00"
01380,Saint-Nizier-le-Bouchoux,2017,"96,20"
01381,Saint-Nizier-le-Désert,2017,"0,00"
01382,Sainte-Olive,2017,"83,60"
01383,Saint-Paul-de-Varax,2017,"14,70"
01384,Saint-Rambert-en-Bugey,2017,"56,30"
01385,Saint-Rémy,2017,"100,00"
01386,Saint-Sorlin-en-Bugey,2017,"89,40"
01387,Saint-Sulpice,2017,"99,90"
01388,Saint-Trivier-de-Courtes,2017,"100,00"
01389,Saint-Trivier-sur-Moignans,2017,"92,70"
01390,Saint-Vulbas,2017,"100,00"
01391,Salavre,2017,"74,80"
01392,Samognat,2017,"62,50"
01393,Sandrans,2017,"82,30"
01396,Sault-Brénaz,2017,"94,30"
01397,Sauverny,2017,"98,30"
01398,Savigneux,2017,"100,00"
01399,Ségny,2017,"100,00"
01400,Seillonnaz,2017,"20,50"
01401,Sergy,2017,"98,90"
01402,Sermoyer,2017,"100,00"
01403,Serrières-de-Briord,2017,"94,80"
01404,Serrières-sur-Ain,2017,"24,00"
01405,Servas,2017,"96,00"
01406,Servignat,2017,"100,00"
01407,Seyssel,2017,"100,00"
01408,Simandre-sur-Suran,2017,"34,40"
01410,Sonthonnax-la-Montagne,2017,"31,60"
01411,Souclin,2017,"46,60"
01412,Sulignat,2017,"99,50"
01415,Talissieu,2017,"100,00"
01416,Tenay,2017,"66,40"
01418,Thil,2017,"100,00"
01419,Thoiry,2017,"92,90"
01420,Thoissey,2017,"100,00"
01421,Torcieu,2017,"99,40"
01422,Tossiat,2017,"88,80"
01423,Toussieux,2017,"100,00"
01424,Tramoyes,2017,"100,00"
01425,La Tranclière,2017,"12,40"
01426,Val-Revermont,2017,"33,10"
01427,Trévoux,2017,"100,00"
01428,Valeins,2017,"100,00"
01429,Vandeins,2017,"100,00"
01430,Varambon,2017,"70,50"
01431,Vaux-en-Bugey,2017,"84,00"
01432,Verjon,2017,"61,50"
01433,Vernoux,2017,"100,00"
01434,Versailleux,2017,"21,80"
01435,Versonnex,2017,"99,70"
01436,Vesancy,2017,"73,70"
01437,Vescours,2017,"98,90"
01439,Vésines,2017,"100,00"
01441,Vieu-d'Izenave,2017,"84,70"
01443,Villars-les-Dombes,2017,"83,20"
01444,Villebois,2017,"65,40"
01445,Villemotier,2017,"99,80"
01446,Villeneuve,2017,"100,00"
01447,Villereversure,2017,"82,10"
01448,Villes,2017,"68,00"
01449,Villette-sur-Ain,2017,"58,50"
01450,Villieu-Loyes-Mollon,2017,"100,00"
01451,Viriat,2017,"99,90"
01452,Virieu-le-Grand,2017,"88,60"
01453,Arvière-en-Valromey,2017,"82,60"
01454,Virignin,2017,"100,00"
01456,Vongnes,2017,"99,60"
01457,Vonnas,2017,"100,00"
02001,Abbécourt,2017,"100,00"
02002,Achery,2017,"100,00"
02003,Acy,2017,"99,50"
02004,Agnicourt-et-Séchelles,2017,"100,00"
02005,Aguilcourt,2017,"100,00"
02006,Aisonville-et-Bernoville,2017,"100,00"
02007,Aizelles,2017,"100,00"
02008,Aizy-Jouy,2017,"95,40"
02009,Alaincourt,2017,"100,00"
02010,Allemant,2017,"99,00"
02011,Ambleny,2017,"95,80"
02012,Ambrief,2017,"99,00"
02013,Amifontaine,2017,"99,20"
02014,Amigny-Rouy,2017,"100,00"
02015,Ancienville,2017,"41,70"
02016,Andelain,2017,"100,00"
02017,Anguilcourt-le-Sart,2017,"100,00"
02018,Anizy-le-Grand,2017,"99,70"
02019,Annois,2017,"100,00"
02020,Any-Martin-Rieux,2017,"100,00"
02021,Archon,2017,"85,70"
02022,Arcy-Sainte-Restitue,2017,"89,90"
02023,Armentières-sur-Ourcq,2017,"95,60"
02024,Arrancy,2017,"100,00"
02025,Artemps,2017,"100,00"
02027,Assis-sur-Serre,2017,"100,00"
02028,Athies-sous-Laon,2017,"100,00"
02029,Attilly,2017,"100,00"
02030,Aubencheul-aux-Bois,2017,"100,00"
02031,Aubenton,2017,"91,50"
02032,Aubigny-aux-Kaisnes,2017,"100,00"
02033,Aubigny-en-Laonnois,2017,"100,00"
02034,Audignicourt,2017,"43,90"
02035,Audigny,2017,"100,00"
02036,Augy,2017,"100,00"
02037,Aulnois-sous-Laon,2017,"100,00"
02038,Les Autels,2017,"10,90"
02039,Autremencourt,2017,"100,00"
02040,Autreppes,2017,"99,60"
02041,Autreville,2017,"100,00"
02042,Azy-sur-Marne,2017,"100,00"
02043,Bagneux,2017,"50,80"
02044,Bancigny,2017,"86,40"
02046,Barenton-Bugny,2017,"100,00"
02047,Barenton-Cel,2017,"100,00"
02048,Barenton-sur-Serre,2017,"100,00"
02049,Barisis-aux-Bois,2017,"93,10"
02050,Barzy-en-Thiérache,2017,"100,00"
02051,Barzy-sur-Marne,2017,"100,00"
02052,Bassoles-Aulers,2017,"97,60"
02053,Vallées en Champagne,2017,"4,00"
02054,Bazoches-sur-Vesles,2017,"100,00"
02055,Beaumé,2017,"89,10"
02056,Beaumont-en-Beine,2017,"100,00"
02057,Beaurevoir,2017,"100,00"
02058,Beaurieux,2017,"64,00"
02059,Beautor,2017,"100,00"
02060,Beauvois-en-Vermandois,2017,"100,00"
02061,Becquigny,2017,"100,00"
02062,Belleau,2017,"98,70"
02063,Bellenglise,2017,"100,00"
02064,Belleu,2017,"100,00"
02065,Bellicourt,2017,"100,00"
02066,Benay,2017,"100,00"
02067,Bergues-sur-Sambre,2017,"100,00"
02068,Berlancourt,2017,"100,00"
02069,Berlise,2017,"99,90"
02070,Bernot,2017,"99,90"
02071,Berny-Rivière,2017,"88,40"
02072,Berrieux,2017,"99,70"
02073,Berry-au-Bac,2017,"100,00"
02074,Bertaucourt-Epourdon,2017,"100,00"
02075,Berthenicourt,2017,"100,00"
02076,Bertricourt,2017,"100,00"
02077,Berzy-le-Sec,2017,"93,90"
02078,Besmé,2017,"100,00"
02079,Besmont,2017,"85,50"
02080,Besny-et-Loizy,2017,"100,00"
02081,Béthancourt-en-Vaux,2017,"100,00"
02082,Beugneux,2017,"97,80"
02083,Beuvardes,2017,"99,70"
02084,Bézu-le-Guéry,2017,"99,90"
02085,Bézu-Saint-Germain,2017,"99,50"
02086,Bichancourt,2017,"100,00"
02087,Bieuxy,2017,"72,30"
02088,Bièvres,2017,"100,00"
02089,Billy-sur-Aisne,2017,"100,00"
02090,Billy-sur-Ourcq,2017,"77,30"
02091,Blanzy-lès-Fismes,2017,"99,50"
02093,Blérancourt,2017,"93,70"
02094,Blesmes,2017,"100,00"
02095,Bohain-en-Vermandois,2017,"100,00"
02096,Bois-lès-Pargny,2017,"91,10"
02097,Boncourt,2017,"94,70"
02098,Bonneil,2017,"100,00"
02099,Bonnesvalyn,2017,"93,20"
02100,Bony,2017,"100,00"
02101,Bosmont-sur-Serre,2017,"87,00"
02102,Bouconville-Vauclair,2017,"98,10"
02103,Boué,2017,"100,00"
02104,Bouffignereux,2017,"94,70"
02105,Bouresches,2017,"100,00"
02106,Bourg-et-Comin,2017,"42,90"
02107,Bourguignon-sous-Coucy,2017,"100,00"
02108,Bourguignon-sous-Montbavin,2017,"100,00"
02109,La Bouteille,2017,"99,30"
02110,Braine,2017,"100,00"
02111,Brancourt-en-Laonnois,2017,"100,00"
02112,Brancourt-le-Grand,2017,"100,00"
02114,Brasles,2017,"100,00"
02115,Braye-en-Laonnois,2017,"50,90"
02116,Braye-en-Thiérache,2017,"95,80"
02117,Bray-Saint-Christophe,2017,"100,00"
02118,Braye,2017,"100,00"
02119,Brécy,2017,"91,30"
02120,Brenelle,2017,"99,60"
02121,Breny,2017,"66,00"
02122,Brie,2017,"98,80"
02123,Brissay-Choigny,2017,"100,00"
02124,Brissy-Hamégicourt,2017,"100,00"
02125,Brumetz,2017,"99,20"
02126,Brunehamel,2017,"83,10"
02127,Bruyères-sur-Fère,2017,"98,80"
02128,Bruyères-et-Montbérault,2017,"100,00"
02129,Bruys,2017,"68,50"
02130,Bucilly,2017,"99,40"
02131,Bucy-le-Long,2017,"100,00"
02132,Bucy-lès-Cerny,2017,"79,90"
02133,Bucy-lès-Pierrepont,2017,"100,00"
02134,Buire,2017,"100,00"
02135,Buironfosse,2017,"97,90"
02136,Burelles,2017,"97,30"
02137,Bussiares,2017,"91,10"
02138,Buzancy,2017,"99,30"
02139,Caillouël-Crépigny,2017,"100,00"
02140,Camelin,2017,"98,80"
02141,La Capelle,2017,"100,00"
02142,Castres,2017,"100,00"
02143,Le Catelet,2017,"100,00"
02144,Caulaincourt,2017,"100,00"
02145,Caumont,2017,"99,90"
02146,Celles-lès-Condé,2017,"22,80"
02148,Celles-sur-Aisne,2017,"98,70"
02149,Cerizy,2017,"100,00"
02150,Cerny-en-Laonnois,2017,"100,00"
02151,Cerny-lès-Bucy,2017,"100,00"
02152,Cerseuil,2017,"99,80"
02153,Cessières-Suzy,2017,"93,80"
02154,Chacrise,2017,"54,00"
02155,Chaillevois,2017,"100,00"
02156,Chalandry,2017,"100,00"
02157,Chambry,2017,"100,00"
02158,Chamouille,2017,"100,00"
02159,Champs,2017,"100,00"
02160,Chaourse,2017,"100,00"
02162,La Chapelle-sur-Chézy,2017,"100,00"
02163,Charly-sur-Marne,2017,"98,40"
02164,Le Charmel,2017,"100,00"
02165,Charmes,2017,"100,00"
02166,Chartèves,2017,"100,00"
02167,Chassemy,2017,"99,50"
02168,Château-Thierry,2017,"100,00"
02169,Châtillon-lès-Sons,2017,"94,00"
02170,Châtillon-sur-Oise,2017,"100,00"
02171,Chaudardes,2017,"90,00"
02172,Chaudun,2017,"100,00"
02173,Chauny,2017,"100,00"
02174,Chavignon,2017,"100,00"
02175,Chavigny,2017,"88,90"
02176,Chavonne,2017,"98,60"
02177,Chérêt,2017,"96,80"
02178,Chermizy-Ailles,2017,"99,20"
02179,Chéry-Chartreuve,2017,"76,20"
02180,Chéry-lès-Pouilly,2017,"100,00"
02181,Chéry-lès-Rozoy,2017,"99,70"
02182,Chevennes,2017,"100,00"
02183,Chevregny,2017,"100,00"
02184,Chevresis-Monceau,2017,"91,20"
02185,Chézy-en-Orxois,2017,"80,00"
02186,Chézy-sur-Marne,2017,"99,30"
02187,Chierry,2017,"100,00"
02188,Chigny,2017,"94,80"
02189,Chivres-en-Laonnois,2017,"100,00"
02190,Chivres-Val,2017,"95,70"
02191,Chivy-lès-Étouvelles,2017,"100,00"
02192,Chouy,2017,"76,10"
02193,Cierges,2017,"99,00"
02194,Cilly,2017,"86,60"
02195,Ciry-Salsogne,2017,"99,80"
02196,Clacy-et-Thierret,2017,"100,00"
02197,Clairfontaine,2017,"99,70"
02198,Clamecy,2017,"99,70"
02199,Clastres,2017,"100,00"
02200,Clermont-les-Fermes,2017,"100,00"
02201,Cœuvres-et-Valsery,2017,"70,10"
02203,Coincy,2017,"84,20"
02204,Coingt,2017,"95,80"
02205,Colligis-Crandelain,2017,"100,00"
02206,Colonfay,2017,"100,00"
02207,Commenchon,2017,"99,40"
02208,Concevreux,2017,"98,40"
02209,Condé-en-Brie,2017,"41,80"
02210,Condé-sur-Aisne,2017,"100,00"
02211,Condé-sur-Suippe,2017,"100,00"
02212,Condren,2017,"100,00"
02213,Connigis,2017,"98,10"
02214,Contescourt,2017,"100,00"
02215,Corbeny,2017,"100,00"
02216,Corcy,2017,"11,50"
02217,Coucy-le-Château-Auffrique,2017,"100,00"
02218,Coucy-lès-Eppes,2017,"99,90"
02219,Coucy-la-Ville,2017,"84,70"
02220,Coulonges-Cohan,2017,"72,80"
02221,Coupru,2017,"99,90"
02222,Courbes,2017,"100,00"
02223,Courboin,2017,"73,00"
02224,Courcelles-sur-Vesle,2017,"95,40"
02225,Courchamps,2017,"100,00"
02226,Courmelles,2017,"100,00"
02227,Courmont,2017,"100,00"
02228,Courtemont-Varennes,2017,"100,00"
02229,Courtrizy-et-Fussigny,2017,"95,00"
02230,Couvrelles,2017,"92,70"
02231,Couvron-et-Aumencourt,2017,"98,80"
02232,Coyolles,2017,"61,20"
02233,Cramaille,2017,"98,00"
02234,Craonne,2017,"99,30"
02235,Craonnelle,2017,"75,10"
02236,Crécy-au-Mont,2017,"100,00"
02237,Crécy-sur-Serre,2017,"100,00"
02238,Crépy,2017,"97,50"
02239,Crézancy,2017,"97,90"
02240,Croix-Fonsomme,2017,"100,00"
02241,La Croix-sur-Ourcq,2017,"61,50"
02242,Crouttes-sur-Marne,2017,"100,00"
02243,Crouy,2017,"100,00"
02244,Crupilly,2017,"100,00"
02245,Cuffies,2017,"100,00"
02246,Cugny,2017,"100,00"
02248,Cuirieux,2017,"100,00"
02249,Cuiry-Housse,2017,"91,90"
02250,Cuiry-lès-Chaudardes,2017,"86,50"
02251,Cuiry-lès-Iviers,2017,"89,40"
02252,Cuissy-et-Geny,2017,"27,60"
02253,Cuisy-en-Almont,2017,"93,90"
02254,Cutry,2017,"84,90"
02255,Cys-la-Commune,2017,"76,80"
02256,Dagny-Lambercy,2017,"89,70"
02257,Dallon,2017,"100,00"
02258,Dammard,2017,"88,90"
02259,Dampleux,2017,"67,50"
02260,Danizy,2017,"100,00"
02261,Dercy,2017,"92,30"
02262,Deuillet,2017,"100,00"
02263,Dhuizel,2017,"53,50"
02264,Dizy-le-Gros,2017,"100,00"
02265,Dohis,2017,"97,60"
02266,Dolignon,2017,"100,00"
02267,Dommiers,2017,"96,30"
02268,Domptin,2017,"97,80"
02269,Dorengt,2017,"100,00"
02270,Douchy,2017,"100,00"
02271,Dravegny,2017,"88,10"
02272,Droizy,2017,"94,40"
02273,Dury,2017,"100,00"
02274,Ébouleau,2017,"99,70"
02275,Effry,2017,"100,00"
02276,Englancourt,2017,"78,70"
02277,Épagny,2017,"76,90"
02278,Éparcy,2017,"100,00"
02279,Épaux-Bézu,2017,"91,40"
02280,Épieds,2017,"99,00"
02281,L'Épine-aux-Bois,2017,"100,00"
02282,Eppes,2017,"100,00"
02283,Erlon,2017,"99,80"
02284,Erloy,2017,"89,40"
02286,Esquéhéries,2017,"100,00"
02287,Essigny-le-Grand,2017,"100,00"
02288,Essigny-le-Petit,2017,"100,00"
02289,Essises,2017,"91,60"
02290,Essômes-sur-Marne,2017,"100,00"
02291,Estrées,2017,"100,00"
02292,Étampes-sur-Marne,2017,"100,00"
02293,Étaves-et-Bocquiaux,2017,"100,00"
02294,Étouvelles,2017,"100,00"
02295,Étréaupont,2017,"100,00"
02296,Étreillers,2017,"100,00"
02297,Étrépilly,2017,"99,00"
02298,Étreux,2017,"100,00"
02299,Évergnicourt,2017,"100,00"
02302,Faverolles,2017,"31,20"
02303,Fayet,2017,"100,00"
02304,La Fère,2017,"100,00"
02305,Fère-en-Tardenois,2017,"99,30"
02306,La Ferté-Chevresis,2017,"97,70"
